cluster_name,classification_label,num_distinct_enzyme_classes,num_distinct_enzyme_subfamilies,total_ec_numbers,enzyme_classes,enzyme_subfamilies,all_ec_numbers,e2p2_file
MGC_CANDIDATE_62,1,1,1,7,2,2.1,2.1.1.104;2.1.1.68;2.1.1.104;2.1.1.68;2.1.1.104;2.1.1.68;2.1.1.336,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_62/MGC_CANDIDATE_62.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_12,1,1,1,3,4,4.3,4.3.3.2;4.3.3.2;4.3.3.2,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_12/MGC_CANDIDATE_12.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_22,1,1,1,4,1,1.14,1.14.14.126;1.14.14.126;1.14.14.64;1.14.14.126,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_22/MGC_CANDIDATE_22.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_20,1,1,1,3,1,1.14,1.14.14.17;1.14.14.17;1.14.14.17,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_20/MGC_CANDIDATE_20.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_39,1,1,1,4,3,3.2,3.2.1.67;3.2.1.15;3.2.1.15;3.2.1.15,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_39/MGC_CANDIDATE_39.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_5,1,2,3,3,2;4,2.7;4.1;4.2,4.1.2.13;4.2.1.11;2.7.1.40,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_5/MGC_CANDIDATE_5.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_25,1,0,0,0,,,,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_25/MGC_CANDIDATE_25.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_37,1,1,1,5,4,4.3,4.3.1.19;4.3.1.19;4.3.1.17;4.3.1.19;4.3.1.19,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_37/MGC_CANDIDATE_37.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_36,1,1,1,7,4,4.3,4.3.1.24;4.3.1.24;4.3.1.24;4.3.1.24;4.3.1.24;4.3.1.24;4.3.1.24,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_36/MGC_CANDIDATE_36.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_53,1,1,1,3,1,1.1,1.1.1.285;1.1.1.285;1.1.1.285,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_53/MGC_CANDIDATE_53.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_69,1,1,1,6,2,2.3,2.3.1.119;2.3.1.199;2.3.1.199;2.3.1.199;2.3.1.119;2.3.1.199,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_69/MGC_CANDIDATE_69.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_24,1,1,1,3,3,3.1,3.1.4.11;3.1.4.11;3.1.4.11,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_24/MGC_CANDIDATE_24.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_7,1,1,1,3,3,3.1,3.1.1.11;3.1.1.11;3.1.1.11,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_7/MGC_CANDIDATE_7.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_58,1,1,1,6,2,2.1,2.1.1.267;2.1.1.267;2.1.1.267;2.1.1.267;2.1.1.267;2.1.1.267,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_58/MGC_CANDIDATE_58.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_11,1,1,1,4,6,6.2,6.2.1.12;6.2.1.12;6.2.1.12;6.2.1.12,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_11/MGC_CANDIDATE_11.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_63,1,1,1,7,4,4.3,4.3.1.24;4.3.1.24;4.3.1.24;4.3.1.24;4.3.1.24;4.3.1.24;4.3.1.24,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_63/MGC_CANDIDATE_63.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_72,1,2,2,8,2;4,2.3;4.2,2.3.1.119;2.3.1.199;2.3.1.119;2.3.1.199;4.2.1.134;2.3.1.119;2.3.1.199;4.2.1.134,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_72/MGC_CANDIDATE_72.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_65,1,1,1,7,2,2.1,2.1.1.4;2.1.1.267;2.1.1.4;2.1.1.4;2.1.1.267;2.1.1.4;2.1.1.240,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_65/MGC_CANDIDATE_65.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_33,1,1,1,6,1,1.13,1.13.11.12;1.13.11.12;1.13.11.12;1.13.11.12;1.13.11.12;1.13.11.12,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_33/MGC_CANDIDATE_33.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_66,1,0,0,0,,,,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_66/MGC_CANDIDATE_66.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_26,1,1,1,4,3,3.1,3.1.4.11;3.1.4.11;3.1.4.11;3.1.4.11,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_26/MGC_CANDIDATE_26.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_32,1,1,1,6,1,1.13,1.13.11.12;1.13.11.12;1.13.11.12;1.13.11.12;1.13.11.12;1.13.11.12,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_32/MGC_CANDIDATE_32.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_64,1,1,1,9,4,4.1,4.1.1.25;4.1.1.25;4.1.1.28;4.1.1.25;4.1.1.28;4.1.1.25;4.1.1.28;4.1.1.25;4.1.1.28,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_64/MGC_CANDIDATE_64.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_4,1,1,1,3,5,5.3,5.3.99.6;5.3.99.6;5.3.99.6,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_4/MGC_CANDIDATE_4.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_46,1,1,1,3,1,1.14,1.14.14.91;1.14.14.91;1.14.14.91,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_46/MGC_CANDIDATE_46.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_44,1,1,1,4,2,2.5,2.5.1.47;2.5.1.47;2.5.1.47;2.5.1.47,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_44/MGC_CANDIDATE_44.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_59,1,1,1,3,4,4.2,4.2.1.92;4.2.1.92;4.2.1.92,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_59/MGC_CANDIDATE_59.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_28,1,1,1,12,1,1.1,1.1.1.237;1.1.1.79;1.1.1.81;1.1.1.237;1.1.1.79;1.1.1.81;1.1.1.237;1.1.1.79;1.1.1.81;1.1.1.237;1.1.1.79;1.1.1.81,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_28/MGC_CANDIDATE_28.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_52,1,1,1,3,3,3.1,3.1.1.31;3.1.1.31;3.1.1.31,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_52/MGC_CANDIDATE_52.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_34,1,1,1,6,1,1.13,1.13.11.12;1.13.11.12;1.13.11.12;1.13.11.12;1.13.11.12;1.13.11.12,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_34/MGC_CANDIDATE_34.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_48,1,1,1,3,4,4.3,4.3.1.24;4.3.1.24;4.3.1.24,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_48/MGC_CANDIDATE_48.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_2,1,1,1,3,3,3.1,3.1.1.11;3.1.1.11;3.1.1.11,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_2/MGC_CANDIDATE_2.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_17,1,1,1,3,3,3.1,3.1.1.11;3.1.1.11;3.1.1.11,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_17/MGC_CANDIDATE_17.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_23,1,1,1,3,4,4.1,4.1.1.39;4.1.1.39;4.1.1.39,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_23/MGC_CANDIDATE_23.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_49,1,2,2,3,2;4,2.7;4.1,2.7.1.40;2.7.1.40;4.1.2.13,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_49/MGC_CANDIDATE_49.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_83,1,1,1,12,1,1.14,1.14.14.89;1.14.14.90;1.14.19.74;1.14.14.88;1.14.14.89;1.14.14.90;1.14.14.89;1.14.14.90;1.14.19.74;1.14.14.88;1.14.14.89;1.14.14.90,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_83/MGC_CANDIDATE_83.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_13,1,1,1,5,3,3.2,3.2.1.15;3.2.1.15;3.2.1.67;3.2.1.15;3.2.1.15,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_13/MGC_CANDIDATE_13.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_71,1,1,1,4,3,3.2,3.2.1.15;3.2.1.15;3.2.1.67;3.2.1.15,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_71/MGC_CANDIDATE_71.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_18,1,1,1,3,3,3.2,3.2.1.15;3.2.1.15;3.2.1.15,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_18/MGC_CANDIDATE_18.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_14,1,1,1,6,1,1.1,1.1.3.37;1.1.3.8;1.1.3.37;1.1.3.8;1.1.3.37;1.1.3.8,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_14/MGC_CANDIDATE_14.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_60,1,1,1,6,5,5.4,5.4.99.39;5.4.99.40;5.4.99.39;5.4.99.40;5.4.99.39;5.4.99.40,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_60/MGC_CANDIDATE_60.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_19,1,1,1,6,1,1.1,1.1.1.195;1.1.1.194;1.1.1.195;1.1.1.194;1.1.1.195;1.1.1.91,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_19/MGC_CANDIDATE_19.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_3,1,1,1,5,3,3.2,3.2.1.15;3.2.1.15;3.2.1.67;3.2.1.15;3.2.1.15,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_3/MGC_CANDIDATE_3.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_40,1,1,2,4,3,3.1;3.2,3.2.1.15;3.2.1.67;3.1.1.11;3.1.1.11,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_40/MGC_CANDIDATE_40.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_38,1,2,3,4,2;4,2.7;4.1;4.2,2.7.1.40;2.7.1.40;4.2.1.11;4.1.2.13,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_38/MGC_CANDIDATE_38.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_9,1,1,1,3,3,3.1,3.1.4.11;3.1.4.11;3.1.4.11,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_9/MGC_CANDIDATE_9.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_74,1,1,1,9,2,2.1,2.1.1.338;2.1.1.338;2.1.1.4;2.1.1.338;2.1.1.267;2.1.1.267;2.1.1.267;2.1.1.267;2.1.1.338,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_74/MGC_CANDIDATE_74.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_16,1,1,1,3,5,5.3,5.3.99.6;5.3.99.6;5.3.99.6,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_16/MGC_CANDIDATE_16.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_47,1,1,1,4,2,2.3,2.3.1.119;2.3.1.199;2.3.1.199;2.3.1.199,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_47/MGC_CANDIDATE_47.MaxWeightAbsoluteThreshold.default.pf
MGC_CANDIDATE_29,1,0,0,0,,,,/groups/itay_mayrose/alongonda/Plant_MGC/fixed_kegg_verified_scanner_min_genes_3_overlap_merge/kegg_scanner_min_genes_based_metabolic/min_genes_3/mgc_candidates_fasta_files_without_e2p2_filtered_test/e2p2_results/MGC_CANDIDATE_29/MGC_CANDIDATE_29.MaxWeightAbsoluteThreshold.default.pf
